epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.954,1.10287,3.15333,1.47403,0.01128,0.97448,0.48244,0.31557,0.98075,3.398,1.46425,0.000175,0.000175,0.000175
2,87.6795,1.10401,2.35179,1.41032,0.01294,0.98374,0.42415,0.27812,0.94219,3.15539,1.39486,0.000355322,0.000355322,0.000355322
3,132.433,1.03767,1.8654,1.35488,0.57757,0.5716,0.63974,0.43733,1.17024,2.32792,1.63671,0.00052822,0.00052822,0.00052822
4,177.643,1.08817,1.59325,1.35317,0.7026,0.63445,0.69814,0.46595,1.16065,2.30449,1.64973,0.000693692,0.000693692,0.000693692
5,221.988,1.09907,1.55242,1.35512,0.78541,0.55005,0.69338,0.44469,1.23443,2.3844,1.72591,0.00085174,0.00085174,0.00085174
6,264.162,1.15014,1.62348,1.38771,0.45928,0.54562,0.47483,0.31224,1.23065,2.50926,1.7163,0.00100236,0.00100236,0.00100236
7,303.002,1.11049,1.61962,1.39756,0.47979,0.6569,0.56687,0.35791,1.30783,2.35047,1.78997,0.0011015,0.0011015,0.0011015
8,341.129,1.11176,1.54155,1.36962,0.60276,0.66091,0.67656,0.45878,1.21939,2.42387,1.74197,0.00107675,0.00107675,0.00107675
9,382.612,1.04887,1.40496,1.3257,0.63512,0.68503,0.64107,0.41883,1.11393,2.25933,1.6199,0.001052,0.001052,0.001052
10,420.716,1.0532,1.3362,1.32457,0.71823,0.54751,0.60982,0.39293,1.19375,2.01416,1.63919,0.00102725,0.00102725,0.00102725
11,458.302,1.03465,1.31985,1.30726,0.64807,0.62355,0.67241,0.45518,1.11057,2.11537,1.53215,0.0010025,0.0010025,0.0010025
12,495.577,1.04399,1.27027,1.29352,0.56321,0.66761,0.60823,0.39272,1.31583,2.00546,1.76557,0.00097775,0.00097775,0.00097775
13,532.618,1.03411,1.32759,1.32904,0.68702,0.72668,0.74774,0.50015,1.13283,1.76783,1.56107,0.000953,0.000953,0.000953
14,569.696,1.00152,1.2158,1.28408,0.71475,0.73881,0.75425,0.52082,1.05101,1.62248,1.49666,0.00092825,0.00092825,0.00092825
15,610.093,0.96139,1.15662,1.24338,0.65788,0.76774,0.75859,0.52001,1.12755,1.82265,1.58528,0.0009035,0.0009035,0.0009035
16,648.739,0.99239,1.21668,1.27271,0.74494,0.71723,0.74926,0.52889,1.10013,1.51197,1.49003,0.00087875,0.00087875,0.00087875
17,686.388,0.97881,1.16957,1.29566,0.73422,0.62374,0.73013,0.51582,1.0923,1.56162,1.48572,0.000854,0.000854,0.000854
18,723.72,0.94342,1.1256,1.25329,0.76388,0.73011,0.82682,0.5879,1.09368,1.48678,1.52442,0.00082925,0.00082925,0.00082925
19,763.87,0.9632,1.0908,1.22198,0.706,0.72715,0.7093,0.51354,0.99329,1.46248,1.44811,0.0008045,0.0008045,0.0008045
20,802.618,0.96235,1.10687,1.25414,0.70067,0.74469,0.74331,0.51115,1.07981,1.47809,1.48016,0.00077975,0.00077975,0.00077975
21,846.482,0.97425,1.1127,1.29056,0.79065,0.77465,0.8054,0.57217,1.02076,1.4159,1.43743,0.000755,0.000755,0.000755
22,890.138,0.96299,1.13667,1.27697,0.68811,0.79161,0.77705,0.52273,1.15568,1.45431,1.52761,0.00073025,0.00073025,0.00073025
23,934.835,0.92454,1.08841,1.24667,0.71206,0.63535,0.70099,0.4867,1.12087,1.58583,1.48698,0.0007055,0.0007055,0.0007055
24,979.163,0.89639,1.06147,1.21018,0.71633,0.6679,0.72905,0.4937,1.12674,1.56661,1.50204,0.00068075,0.00068075,0.00068075
